주문번호,주문일,주문시간,채널,카테고리,상품명,SKU,수량,단가,합계,배송지역,주문상태
PUB-260501-0001,2026-05-01,18:06,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,서울,현장판매
PUB-260501-0002,2026-05-01,17:06,브루펍포스,시즈널,광안밤,GWA-375,2,8500,17000,부산,현장판매
PUB-260501-0003,2026-05-01,21:32,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,부산,현장판매
PUB-260501-0003,2026-05-01,21:32,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,부산,현장판매
PUB-260501-0004,2026-05-01,22:39,브루펍포스,시즈널,광안밤,GWA-375,2,8500,17000,경기,현장판매
PUB-260501-0005,2026-05-01,19:58,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,부산,현장판매
PUB-260501-0006,2026-05-01,18:09,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,서울,현장판매
PUB-260501-0007,2026-05-01,22:50,브루펍포스,시그니처,텃밭,TEO-750,2,14500,29000,울산,현장판매
PUB-260501-0008,2026-05-01,23:38,브루펍포스,시그니처,산뜻,SAN-750,1,13000,13000,부산,현장판매
PUB-260501-0009,2026-05-01,18:48,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,부산,현장판매
PUB-260501-0009,2026-05-01,18:48,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,부산,현장판매
PUB-260501-0010,2026-05-01,19:49,브루펍포스,시즈널,대추걸렸네,DAE-375,1,8000,8000,경남,현장판매
PUB-260501-0010,2026-05-01,19:49,브루펍포스,시그니처,욕망의 거친 물결,YOK-750,2,14000,28000,경남,현장판매
PUB-260501-0011,2026-05-01,21:31,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,기타,현장판매
PUB-260501-0012,2026-05-01,20:31,브루펍포스,시즈널,광안밤,GWA-375,1,8500,8500,서울,현장판매
PUB-260501-0012,2026-05-01,20:31,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,서울,현장판매
PUB-260501-0013,2026-05-01,20:20,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,기타,현장판매
PUB-260501-0014,2026-05-01,22:07,브루펍포스,시그니처,산뜻,SAN-750,2,13000,26000,경기,현장판매
PUB-260501-0014,2026-05-01,22:07,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,경기,현장판매
PUB-260501-0015,2026-05-01,18:35,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,부산,현장판매
PUB-260501-0016,2026-05-01,18:51,브루펍포스,시즈널,대추걸렸네,DAE-375,2,8000,16000,경기,현장판매
PUB-260501-0017,2026-05-01,21:22,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,부산,현장판매
PUB-260501-0018,2026-05-01,22:21,브루펍포스,시그니처,텃밭,TEO-750,1,14500,14500,경기,현장판매
