게시일,채널,유형,주제,연동SKU,도달,좋아요,댓글,저장,펍예약,비고
2026-05-08,인스타,릴스,금요일 펍 페어링 나이트 - 욕망의 거친 물결,YOK-750,24800,1820,96,410,38,펍 이벤트 연동
2026-05-13,인스타,캐러셀,여름 신상 산뜻 출시 (자사몰 단독),SAN-750,17600,1410,72,520,0,자사몰 런칭
2026-05-17,인스타,스토리,청년농부 협업 아침에쌀 비하인드,ACH-500,9200,640,31,180,0,스마트스토어 유도
2026-05-23,인스타,피드,텃밭 페어링 모임 모집 (토요일),TEO-750,14300,1180,88,360,30,펍 이벤트 연동
2026-05-02,인스타,피드,주말 영업 안내,,4200,210,8,22,0,
2026-05-06,인스타,스토리,오늘의 탭 리스트,,3100,0,0,0,0,
2026-05-15,인스타,피드,비취색 브랜드 이야기,,6800,540,24,130,0,
2026-05-20,인스타,릴스,양조 과정 타임랩스,,11200,880,41,240,0,
2026-05-27,인스타,스토리,주중 한산한 시간 추천,,2700,0,0,0,0,
2026-05-30,인스타,피드,6월 클래스 예고,,5600,430,19,95,12,펍 클래스 모집
